region,district,code,name,type,type_category,ownership_category,ownership_authority,status
Simiyu,Meatu Dc,121430-3,MWASENGELA,Health Center,Kituo cha Afya,Public,LGA,Operating
Dar Es Salaam,Kigamboni Mc,121429-5,MBUTU KICHANGANI,Health Center,Kituo cha Afya,Public,LGA,Operating
Kagera,Bukoba Dc,121427-9,Amani,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Coast,Mkuranga Dc,121426-1,charity health laboratory,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Mkuranga Dc,121425-3,VIVAH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Mkuranga Dc,121424-6,BETHEL HEALTH LABORATORY,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Mkuranga Dc,121423-8,AFYA MEDICAL CARE LABORATORY,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Coast,Mkuranga Dc,121422-0,LEMY II,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Ifakara Tc,121421-2,MBASA,Health Center,Kituo cha Afya,Public,LGA,Operating
Morogoro,Ifakara Tc,121419-6,MSOLWA STATION,Health Center,Kituo cha Afya,Public,LGA,Operating
Dar Es Salaam,Kinondoni Mc,121418-8,MALINDI ESTATE,Health Center,Kituo cha Afya,Public,LGA,Operating
Dar Es Salaam,Kinondoni Mc,121417-0,ALIMAUA,Health Center,Kituo cha Afya,Public,LGA,Operating
Dar Es Salaam,Kinondoni Mc,121416-2,KINONDONI,Health Center,Kituo cha Afya,Public,LGA,Operating
Mwanza,Buchosa Dc,121415-4,ECCO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Kilimanjaro,Mwanga Dc,121412-1,MWANGA,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Tanga,Lushoto Dc,121411-3,MATEGHO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Bahi Dc,121410-5,UHELELA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Kibaha Dc,121409-7,AGKI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
